1028929,0.115,-1.3842,-1.0551,-0.9893,-1.7035,-0.9614,-1.3971,-0.498,-0.6459,-1.2131,-1.1276,-1.1911
1028930,0.1784,-0.9596,-0.4368,-0.6208,-0.7292,-0.4656,-0.6787,-0.1755,-0.3677,-0.6669,-0.6705,-0.683
1048348,-1.2555,0.1153,-1.3502,-1.0959,-0.9251,-2.0005,-1.0678,-0.5743,-0.593,0.5011,-0.6994,0.1972
1048598,-0.8958,-0.4182,-0.7309,-0.6972,-0.6229,-0.6526,-0.7663,-0.9629,-0.7028,-0.8398,-0.6832,-0.6883
1048599,-0.8652,-0.4883,-0.7515,-0.6895,-0.6236,-0.5144,-0.6476,-0.7797,-0.7233,-0.8038,-0.6861,-0.6534
1015836,-0.8298,-0.095,-0.4425,-0.4124,0.0442,-0.1395,-0.1408,-0.6782,-0.7766,-0.445,-0.0429,0.118
1014329,-0.59,-0.1551,-0.2279,-0.8431,-0.8304,-1.0765,0.0504,-0.2687,-1.1017,-0.6708,-0.4931,-0.2395
1014097,-3.5345,0.1876,-0.6941,-0.3534,0.0172,-0.0207,0.1645,0.3975,-0.7068,0.1132,-0.1657,-0.1208
1039920,0.8926,1.0586,1.4108,1.1845,1.5062,1.3431,1.587,1.4093,1.0954,1.3493,1.6475,0.7043
1039921,-0.8367,-0.1681,-0.7192,-0.4776,-0.477,-0.5587,-1.1095,-1.3414,-0.7337,-0.9469,-0.6256,-0.1471
1039918,-0.558,-0.4744,-0.8497,-0.2975,-0.7979,-0.5417,-0.6351,-0.4404,-0.7747,-0.6804,-0.3344,-0.3208
1039919,0.2211,-0.5293,-0.2851,-0.4653,0.6116,-0.0708,0.0758,-0.4328,-0.2651,-0.5781,-0.2921,-0.0067
1059478,-0.8488,-0.7398,-1.1721,-0.8231,-0.5266,-0.3973,-0.3448,-1.0458,-0.9539,-0.86,-0.8248,-0.461
1059480,0.0359,-1.0161,-0.6982,-0.7419,-1.4205,-1.1678,-1.8842,-0.6205,-0.7375,-0.7795,-0.8881,-0.6727
1030453,1.727,-0.7742,-0.5692,-0.4197,-1.0404,-0.8496,-1.0009,0.7502,-0.3284,0.1749,-0.3932,-0.6508
1059481,-0.0701,-1.2434,-0.702,-0.8737,-1.4738,-1.2105,-0.384,-0.5225,-0.6359,-0.9786,-0.9164,-0.8978
1059479,-0.2301,-1.2726,-1.25,-1.0417,-1.5037,-1.3822,-1.7164,-0.9651,-0.9992,-1.2821,-1.2332,-0.8304
1020817,0.1482,-0.3171,0.0235,-0.0961,-0.4968,-0.3764,-0.8213,-0.0373,-0.0049,-0.5879,-0.2189,-0.3477
1015499,0.5305,0.758,0.385,-0.1131,-0.5206,-0.4779,-0.1984,-0.2572,0.1849,-0.1749,-0.0224,0.0132
1011338,-0.556,0.0491,-0.2409,-0.2427,0.221,0.199,0.1632,-0.1877,0.1318,-0.3712,0.0086,0.3582
1030639,0.3129,-0.2766,0.0201,-0.0787,-0.5177,-0.3361,-0.3854,0.1644,0.0494,-0.1789,-0.1692,0.1824
1035624,0.0035,-0.1619,-1.1964,-0.4849,-1.6761,-0.7601,-0.4627,-0.0434,-0.5263,-0.3865,-0.4239,-0.209
1035625,-1.1791,-0.4002,-0.7926,0.9399,-0.7639,0.7876,-1.0722,0.3598,0.1056,-0.5885,-0.6189,-0.1865
1028753,1.4082,0.3375,0.8583,0.5123,-0.1266,-0.0429,-0.3779,0.8008,1.1582,0.6045,0.35,-0.0554
1028752,0.0098,0.3373,-0.2583,-0.1489,0.6032,0.4386,0.1909,-0.1298,-0.2831,-0.006,-0.0789,0.1632
1041974,0.0807,-0.801,-0.7993,-0.7447,-0.9225,-0.4669,-0.6846,-0.6038,-0.4091,-0.636,-0.6688,-0.2665
1041973,-0.671,-0.3898,-0.9605,-0.5772,-0.154,-0.264,-0.4997,-0.7403,-0.5229,-0.6907,-0.5521,0.1741
1041975,0.5961,-0.7686,0.3098,-0.1969,-0.8238,-0.0079,-0.4148,0.2435,0.4306,-0.3211,-0.0313,-0.2452
1012526,-0.0683,0.2304,-0.3471,0.1914,0.8573,0.7858,0.7645,-0.2502,0.2007,0.3035,0.4476,0.5825
